Name,Type,Category,Color,Price,Description,Year,Region,ABV,Images,quantity,pricedate
Bowmore 1966 Sa,Whiskey,Islay Pure Malt,,42000,"Honey, toffee, exotic, tropical fruits, chocolate, greenhouse and hay-like.",1966,Scotland,43,https://i.imgur.com/M0e8075.png,1,42000
The Macallan-Glenlivet 37 Year Old 1937,Whiskey,Scotch,,8000,"A lighter style Macallan with flavors of citrus, vanilla and coconut.",1937,Scotland,43,https://img.thewhiskyexchange.com/900/macg!m1937v8.jpg,1,8000
The Macallan Private Eye 1961,Whiskey,Single Malt Scotch,,7000,"Chocolate, citrus, coal gas, with haylike yet leathery finish.",1961,Scotland,40,https://i.imgur.com/LwHlvhu.png,1,7000
Le Chiuse 2013 Brunello di Montalcino,Wine,,Red,79,"Vibrant, elegent, intense, juicy marasca cherry.",2013,Italy,14,https://i.imgur.com/wInVnIh.png,1,79
Alpha Omega 2013 Proprietary Red (Napa Valley),Wine,,Red,100,"Black pepper, garrigue, clove and pencil, intensely robust tannin.",2013,California,13,https://i.imgur.com/rpjUtUW.png,1,100
Pol Roger 2008 Cuvée Sir Winston Churchill Brut (Champagne),Champagne,,,293,"Richness and longevity, ripe fruit and dominance of pinot noir.",2008,France,13,https://i.imgur.com/HyrTsMd.png,1,293
W. & J. Graham's 2016 The Stone Terraces Vintage (Port),Wine,Port,Red,230,Generous structure and abundant ripe-fruit tones.,2016,Portugal,20,https://i.imgur.com/LQY8RUm.png,1,230
Château Lafite Rothschild 2015 Pauillac,Wine,,Red,700,"Rich, tanic, great authority, dark fruit tones.",2015,France,13,https://i.imgur.com/D1zabSD.png,1,700
The Glenlivet Winchester Collection: Vintage 1964,Whiskey,Scotch,,25000,"Considered the world’s first collection of 50-year-old single malts, the Vintage 1964 was matured in an American Hogshead oak cask (seasoned with bourbon) by the last distilling descendant of The Glenlivet’s founder. And because the cask was singled out for a mere 100 units upon maturation, no expense was spared in the bottling and packaging process. Each bottle is handblown in the Bristish Isles, incorporating precious metals such as rose gold and cairngorm stone. The vessel even comes in its own cabinet.",1964,Scotland,50,https://s3-eu-west-1.amazonaws.com/theglenlivet.com/stage/ProductToMarket/995/largeBottle/1/largeBottle_320x1030.png,1,25
Bowmore 1989 23 year,Whiskey,Single Malt,,450,"Black tea, sweet ash, spine, old chest of drawers, berry bushes, grapefruit peel, orange peel, pineapple, nutmeg, cinnamon, clove, ivy, leather armchair, dark chocolate, dried raspberries.",1989,Scotland,50,https://i.imgur.com/40DQLWV.png,1,450
Pieropan 2015 Calvarino (Soave Classico),Wine,,White,230,"Heady aromas of white spring wildflower, citrus blossom, layers of lemon drop, ripe apple, juicy pear and tangy mineral notes.",2015,Spain,13,https://i.imgur.com/C2caK5M.png,1,23
Kendall-Jackson 2016 Jackson Estate Outland Ridge Pinot Noir (Anderson Valley),Wine,,Red,90,"Smoked fruit, singed rosemary and black pepper, with a core of deep black-cherry and clove flavors.",2016,California,16,https://i.imgur.com/byVLM0k.png,1,42
Kistler 2015 Cuvée Cathleen Kistler Vineyard Chardonnay (Sonoma Valley),Wine,,White,100,Bright and inviting in fennel and dried apricot.,2015,California,14,https://i.imgur.com/wODd3Rt.png,1,100
Royal Tokaji 2013 6 Puttonyos Aszú Gold Label (Tokaji),Wine,,White,80,"Luscious apricot, floral honeycomb and fresh pear juice.",2013,Tokaji,10,https://i.imgur.com/kgYBnYc.png,1,80
Château Ausone 2015 Saint-Émilion,Wine,,Red,1000,"This magnificent wine brings together the great fruit of the vintage in a complex structure. The acidity, ripe tannins and power of this dense wine are enormous, as is its aging potential. With that acidity and tannic structure, and with the perfumes from the Cabernet Franc, this wine will evolve slowly and with a measured pace. Drink from 2028.",2013,France,14,https://i.imgur.com/B7On5Ul.png,1,1000
